STUDY_ID,PROFILE_ID,NAME,DESCRIPTION,DATATYPE
kirc_tcga_pan_can_atlas_2018,kirc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kirp_tcga_pan_can_atlas_2018,kirp_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
kirp_tcga_pan_can_atlas_2018,kirp_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirp_tcga_pan_can_atlas_2018,kirp_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
laml_tcga_pan_can_atlas_2018,laml_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
laml_tcga_pan_can_atlas_2018,laml_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
laml_tcga_pan_can_atlas_2018,laml_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
lgg_tcga_pan_can_atlas_2018,lgg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
lgg_tcga_pan_can_atlas_2018,lgg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lgg_tcga_pan_can_atlas_2018,lgg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
lihc_tcga_pan_can_atlas_2018,lihc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
lihc_tcga_pan_can_atlas_2018,lihc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lihc_tcga_pan_can_atlas_2018,lihc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
luad_tcga_pan_can_atlas_2018,luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
luad_tcga_pan_can_atlas_2018,luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
luad_tcga_pan_can_atlas_2018,luad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
lusc_tcga_pan_can_atlas_2018,lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
lusc_tcga_pan_can_atlas_2018,lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lusc_tcga_pan_can_atlas_2018,lusc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
meso_tcga_pan_can_atlas_2018,meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
meso_tcga_pan_can_atlas_2018,meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
meso_tcga_pan_can_atlas_2018,meso_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ov_tcga_pan_can_atlas_2018,ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
ov_tcga_pan_can_atlas_2018,ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ov_tcga_pan_can_atlas_2018,ov_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
paad_tcga_pan_can_atlas_2018,paad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
paad_tcga_pan_can_atlas_2018,paad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
paad_tcga_pan_can_atlas_2018,paad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
pcpg_tcga_pan_can_atlas_2018,pcpg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
pcpg_tcga_pan_can_atlas_2018,pcpg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
pcpg_tcga_pan_can_atlas_2018,pcpg_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
prad_tcga_pan_can_atlas_2018,prad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
prad_tcga_pan_can_atlas_2018,prad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
prad_tcga_pan_can_atlas_2018,prad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
sarc_tcga_pan_can_atlas_2018,sarc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
sarc_tcga_pan_can_atlas_2018,sarc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
sarc_tcga_pan_can_atlas_2018,sarc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
skcm_tcga_pan_can_atlas_2018,skcm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
skcm_tcga_pan_can_atlas_2018,skcm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
skcm_tcga_pan_can_atlas_2018,skcm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
stad_tcga_pan_can_atlas_2018,stad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
stad_tcga_pan_can_atlas_2018,stad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
stad_tcga_pan_can_atlas_2018,stad_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
tgct_tcga_pan_can_atlas_2018,tgct_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
tgct_tcga_pan_can_atlas_2018,tgct_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
tgct_tcga_pan_can_atlas_2018,tgct_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
thca_tcga_pan_can_atlas_2018,thca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
thca_tcga_pan_can_atlas_2018,thca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
thca_tcga_pan_can_atlas_2018,thca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
thym_tcga_pan_can_atlas_2018,thym_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
thym_tcga_pan_can_atlas_2018,thym_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
thym_tcga_pan_can_atlas_2018,thym_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucec_tcga_pan_can_atlas_2018,ucec_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
ucec_tcga_pan_can_atlas_2018,ucec_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucec_tcga_pan_can_atlas_2018,ucec_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucs_tcga_pan_can_atlas_2018,ucs_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
ucs_tcga_pan_can_atlas_2018,ucs_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucs_tcga_pan_can_atlas_2018,ucs_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
uvm_tcga_pan_can_atlas_2018,uvm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
uvm_tcga_pan_can_atlas_2018,uvm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
uvm_tcga_pan_can_atlas_2018,uvm_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_capture,mRNA expression (FPKM capture),mRNA expression from capture (RNA Seq FPKM),CONTINUOUS
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_polya,mRNA expression (FPKM polyA),mRNA expression from polyA (RNA Seq FPKM),CONTINUOUS
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_capture_Zscores,mRNA expression z-scores relative to diploid samples (FPKM capture),mRNA expression from capture Z-scores (RNA Seq FPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_polya_Zscores,mRNA expression z-scores relative to diploid samples (FPKM polyA),mRNA expression from polyA Z-scores (RNA Seq FPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_capture_all_sample_Zscores,mRNA expression z-scores relative to all samples (log FPKM capture),Log-transformed mRNA z-scores compared to expression distribution of all samples (RNA Seq FPKM).,Z-SCORE
prad_su2c_2019,prad_su2c_2019_mrna_seq_fpkm_polya_all_sample_Zscores,mRNA expression z-scores relative to all samples (log FPKM polyA),Log-transformed mRNA z-scores compared to expression distribution of all samples (RNA Seq FPKM polyA).,Z-SCORE
acc_tcga,acc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
acc_tcga,acc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
acc_tcga,acc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
laml_tcga,laml_tcga_rna_seq_mrna,mRNA expression (RNA Seq RPKM),Expression levels for 20443 genes in 179 aml cases (RNA Seq RPKM).,CONTINUOUS
laml_tcga,laml_tcga_rna_seq_mrna_median_Zscores,mRNA Expression z-scores relative to diploid samples (RNA Seq RPKM),mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
laml_tcga,laml_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
laml_tcga,laml_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
laml_tcga,laml_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
laml_tcga,laml_tcga_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (RNA Seq RPKM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
blca_tcga,blca_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
blca_tcga,blca_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
blca_tcga,blca_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
brca_tcga,brca_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 590 brca cases (Agilent microarray).,CONTINUOUS
brca_tcga,brca_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga,brca_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
brca_tcga,brca_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga,brca_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
brca_tcga,brca_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
kirc_tcga,kirc_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 72 ccrcc cases (Agilent microarray).,CONTINUOUS
kirc_tcga,kirc_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirc_tcga,kirc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
kirc_tcga,kirc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirc_tcga,kirc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kirc_tcga,kirc_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
cesc_tcga,cesc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
cesc_tcga,cesc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
cesc_tcga,cesc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
chol_tcga,chol_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
chol_tcga,chol_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
chol_tcga,chol_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kich_tcga,kich_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
kich_tcga,kich_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kich_tcga,kich_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
coadread_tcga,coadread_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 244 coadread cases (Agilent microarray).,CONTINUOUS
coadread_tcga,coadread_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
coadread_tcga,coadread_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
coadread_tcga,coadread_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
coadread_tcga,coadread_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
coadread_tcga,coadread_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
dlbc_tcga,dlbc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
